,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
3871,439374,,1983,7,21,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,UNKNOWN,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,NOT AVAILABLE,6.3206818675,-73.9525821232
3872,439375,,1981,10,0,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,UNKNOWN,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,NOT AVAILABLE,6.3206818675,-73.9525821232
3873,439376,,1986,12,0,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,UNKNOWN,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,NOT AVAILABLE,6.2390585766,-74.2655213793
3874,439377,,1987,12,0,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,UNKNOWN,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,NOT AVAILABLE,6.3206818675,-73.9525821232
3875,439378,,1958,5,2,76736,SEVILLA,VALLE DEL CAUCA,CENTRO DEL VALLE,UNKNOWN,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,9.0,NOT AVAILABLE,4.2670332735,-75.9309405816
3876,439379,,1959,0,0,76606,RESTREPO,VALLE DEL CAUCA,CENTRO DEL VALLE,UNKNOWN,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.0,NOT AVAILABLE,3.8213483816,-76.5231170353
3877,439380,,1959,0,0,73408,LERIDA,TOLIMA,NORTE DEL TOLIMA,PUBLIC MEETING,UNIDENTIFIED ARMED GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,4.0,EXPLOSIVE DEVICE,4.8620253462,-74.910634355
3878,439381,,1960,9,0,68720,SANTA HELENA DEL OPON,SANTANDER,MAGDALENA MEDIO,UNKNOWN,UNKNOWN,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,NOT AVAILABLE,6.3396453498,-73.6167932693
3879,439382,,1961,7,0,73483,NATAGAIMA,TOLIMA,SUR DEL TOLIMA,UNKNOWN,STATE AGENT,POLICÍA NACIONAL,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,6.0,NOT AVAILABLE,3.6248585376,-75.0934780032
3880,439383,,1961,7,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ASSAULT,STATE AGENT,EJÉRCITO NACIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,NOT AVAILABLE,4.0,-72.0
