Year,Publisher_condensed,Global_Sales
2005,Sony Computer Entertainment,26.38
2005,Square Enix,6.71
2005,THQ,22.23
2005,Take-Two Interactive,26.29
2005,Ubisoft,16.49
2005,Warner Bros. Interactive Entertainment,0.06
2006,Activision,17.4
2006,Atari,4.33
2006,Capcom,11.4
2006,Electronic Arts,58.410000000000004
2006,Konami Digital Entertainment,14.6
2006,Microsoft Game Studios,9.98
2006,Namco Bandai Games,11.7
2006,Nintendo,205.60999999999999
2006,Other,61.47
2006,Sega,15.81
2006,Sony Computer Entertainment,33.81
2006,Square Enix,13.43
2006,THQ,24.94
2006,Take-Two Interactive,20.59
2006,Ubisoft,17.27
2006,Warner Bros. Interactive Entertainment,0.29
2007,Activision,63.57
2007,Atari,11.370000000000001
2007,Capcom,9.92
2007,Electronic Arts,71.33
2007,Konami Digital Entertainment,17.21
2007,Microsoft Game Studios,26.1
2007,Namco Bandai Games,7.59
2007,Nintendo,104.17999999999999
2007,Other,119.23
2007,Sega,23.69
2007,Sony Computer Entertainment,37.54
2007,Square Enix,16.3
2007,THQ,33.29
2007,Take-Two Interactive,19.81
2007,Ubisoft,48.6
2007,Warner Bros. Interactive Entertainment,1.4
2008,Activision,67.41
2008,Atari,8.69
2008,Capcom,13.32
2008,Electronic Arts,84.12
2008,Konami Digital Entertainment,27.82
2008,Microsoft Game Studios,15.309999999999999
2008,Namco Bandai Games,10.9
2008,Nintendo,91.22
2008,Other,140.46
2008,Sega,37.19
2008,Sony Computer Entertainment,26.64
2008,Square Enix,10.03
2008,THQ,30.45
2008,Take-Two Interactive,46.18
2008,Ubisoft,57.44
2008,Warner Bros. Interactive Entertainment,11.72
2009,Activision,78.06
2009,Atari,4.51
2009,Capcom,19.470000000000002
2009,Electronic Arts,86.2
2009,Konami Digital Entertainment,16.09
2009,Microsoft Game Studios,15.61
2009,Namco Bandai Games,16.77
2009,Nintendo,128.89000000000001
2009,Other,118.25
2009,Sega,24.919999999999998
2009,Sony Computer Entertainment,36.53
2009,Square Enix,10.83
2009,THQ,30.83
2009,Take-Two Interactive,19.11
2009,Ubisoft,47.01
2009,Warner Bros. Interactive Entertainment,14.22
2010,Activision,63.39
2010,Atari,1.43
2010,Capcom,14.38
2010,Electronic Arts,81.38
2010,Konami Digital Entertainment,18.55
2010,Microsoft Game Studios,49.160000000000004
2010,Namco Bandai Games,16.41
2010,Nintendo,61.07
2010,Other,103.32000000000001
2010,Sega,22.89
2010,Sony Computer Entertainment,34.89
2010,Square Enix,17.44
2010,THQ,22.11
2010,Take-Two Interactive,35.839999999999996
2010,Ubisoft,42.62
2010,Warner Bros. Interactive Entertainment,15.57
2011,Activision,51.74
2011,Atari,0.23
2011,Capcom,7.470000000000001
2011,Electronic Arts,72.25
2011,Konami Digital Entertainment,10.04
2011,Microsoft Game Studios,21.28
2011,Namco Bandai Games,22.08
2011,Nintendo,51.53
