,ID,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,YEAR,MONTH,DAY,ID,GENDER,ETHNICITY,OCCUPATION,ROBBER,ALARM,COOK,COMMANDER,FIGHTER,ACCOUNTING,TRAINING,SHOOTING GUARD,EXTORTION,WEAPON MANUFACTURING,MANUFACTURE-PLANTING OF MINES,GUARD,INFORMANT,PATROLMAN,RADIO OPERATIONS,COCA PICKER,HEALTH SERVICES,CONTRACT KILLER,ORGANIZATIONAL WORK,DRUG TRAFFICKING,WEAPONS TRANSPORT,NO INFO,OTHER,AGE,LAT,LON
17,278620,97161,CARURU,VAUPES,2005,4,15,299895,MALE,,STUDENT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADOLESCENCIA (12-17),1.014597709,-71.2977932628
18,301813,68081,BARRANCABERMEJA,SANTANDER,2005,12,1,343245,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),7.064963864,-73.8499569753
19,301815,52835,SAN ANDRES DE TUMACO,NARIÑO,2004,5,1,343247,MALE,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,ADOLESCENCIA (12-17),1.8071172501,-78.7638541478
20,301816,41298,GARZON,HUILA,1984,9,6,343248,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
21,301816,41298,GARZON,HUILA,1984,9,6,343249,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
22,301816,41298,GARZON,HUILA,1984,9,6,343250,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
23,301816,41298,GARZON,HUILA,1984,9,6,343251,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
24,301816,41298,GARZON,HUILA,1984,9,6,343252,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
25,301816,41298,GARZON,HUILA,1984,9,6,343253,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
26,301816,41298,GARZON,HUILA,1984,9,6,343254,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
27,301816,41298,GARZON,HUILA,1984,9,6,343255,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
28,301816,41298,GARZON,HUILA,1984,9,6,343256,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
29,301816,41298,GARZON,HUILA,1984,9,6,343257,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
30,301816,41298,GARZON,HUILA,1984,9,6,343258,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
31,301816,41298,GARZON,HUILA,1984,9,6,343259,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
32,301816,41298,GARZON,HUILA,1984,9,6,343260,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
33,301816,41298,GARZON,HUILA,1984,9,6,343261,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
34,301816,41298,GARZON,HUILA,1984,9,6,343262,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
35,301816,41298,GARZON,HUILA,1984,9,6,343263,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
36,301816,41298,GARZON,HUILA,1984,9,6,343264,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
37,301816,41298,GARZON,HUILA,1984,9,6,343265,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
38,301816,41298,GARZON,HUILA,1984,9,6,343266,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
39,301816,41298,GARZON,HUILA,1984,9,6,343267,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
40,301816,41298,GARZON,HUILA,1984,9,6,343268,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
41,301816,41298,GARZON,HUILA,1984,9,6,343269,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
42,301816,41298,GARZON,HUILA,1984,9,6,343270,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
43,301816,41298,GARZON,HUILA,1984,9,6,343271,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
44,301816,41298,GARZON,HUILA,1984,9,6,343272,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
45,301816,41298,GARZON,HUILA,1984,9,6,343273,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
46,301816,41298,GARZON,HUILA,1984,9,6,343274,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
47,301816,41298,GARZON,HUILA,1984,9,6,343275,,,NO INFORMATION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.196994421,-75.6276937365
